,User_name,Sentiment,User_flr,sText,Text
2020-06-23 07:43:39,MrsVipPat,0,264,$NKERT @PHARRIS667: ,"RT @pharris667: $AAPL DB Raises Target Price On Apple To $380 From $350
$AAPL: UBS RAISES TARGET PRICE TO $400 FROM $325
$AVLR Piper Mainta…"
2020-06-23 07:46:13,QJolt,0,463,$NKE ,"The Learning Curve: Algorithmic Trading Strategies: Mo' Causality, Mo' Problems 
https://t.co/IWdAgaVZuk 

$SPY $TLT $GLD $UVXY $AAPL $XBI $MDY $TQQQ $QQQ $TVIX $TSLA $UNG $USO $SLV $AMZN $MSFT $TWTR $FDN $QTEC $SOXL $PPLT $NKE $MTUM $NOW $AMD $LLY $BDX $TVIX $VXX $VIX $SHY $GOVT"
2020-06-23 07:46:37,adamnews8,1,334,$NKE PT RAISED TO ,$NKE PT raised to $130 from $100 at Susquehanna is there anyone else that's gonna upgrade this stock before earnings?
2020-06-23 07:48:10,c_labrinos,-1,258,"$NKERT @QJOLT: THE LEARNING CURVE: ALGORITHMIC TRADING STRATEGIES: MO' CAUSALITY, MO' PROBLEMS 
HTTPS://T.CO/IWDAGAVZUK 

","RT @QJolt: The Learning Curve: Algorithmic Trading Strategies: Mo' Causality, Mo' Problems 
https://t.co/IWdAgaVZuk 

$SPY $TLT $GLD $UVXY…"
2020-06-23 07:49:14,TrueBubbleHead,0,11784,"$NKE, ","#GoodMorning Market Prep for 6/23/20!

Charts Reviewed: $SPX, $SPY, $ES_F, $MES_F, $QQQ, $IWM, $AAPL, $TSLA, $NKE, $FL, $ABBV, $MA, $MU, $SPR, $BOX, $SONO, $SPCE, $INTC

https://t.co/wzPYymE83B

#stocks #optionstrading #stockmarket #futurestrading #YouTube #video #TuesdayThoughts"
2020-06-23 07:49:45,c_labrinos,0,258,"$NKE, ","RT @TrueBubbleHead: #GoodMorning Market Prep for 6/23/20!

Charts Reviewed: $SPX, $SPY, $ES_F, $MES_F, $QQQ, $IWM, $AAPL, $TSLA, $NKE, $FL,…"
2020-06-23 07:52:59,InvincibleBull,0,568,$NKE ,"City’s burning, police quiting, statues being torn down, covid soaring, and stocks still make all time highs!  2020 the year of crazy. 🤷🏻‍♂️

$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL $UNH $NVDA $DIS $VZ $TSLA $QQQ $MSI $WMT $NOW $NFLX $DECK $MELI $BKNG $PLNT $BA"
2020-06-23 07:53:24,SteelyRivers,0,338,$NKERT @PHARRIS667: ,"RT @pharris667: $AAPL DB Raises Target Price On Apple To $380 From $350
$AAPL: UBS RAISES TARGET PRICE TO $400 FROM $325
$AVLR Piper Mainta…"
2020-06-23 07:54:24,BayouProfit2000,0,1571,$NKERT @NETADVISOR: @THELEOTERRELL @FOXNEWS @SEANHANNITY @REALDONALDTRUMP CORPORATIONS PLEDGE ,"RT @NetAdvisor: @TheLeoTerrell @FoxNews @seanhannity @realDonaldTrump Corporations Pledge $1.6 Billion to BLM.

$ Pledged to rebuild looted…"
2020-06-23 07:56:39,ChuckysBride58,0,805,$NKERT @NETADVISOR: @THELEOTERRELL @FOXNEWS @SEANHANNITY @REALDONALDTRUMP CORPORATIONS PLEDGE ,"RT @NetAdvisor: @TheLeoTerrell @FoxNews @seanhannity @realDonaldTrump Corporations Pledge $1.6 Billion to BLM.

$ Pledged to rebuild looted…"
2020-06-23 07:57:02,aaaamhim,0,17535,$NKE ,$WISA OVERSOLD AT BOTTOM BOUNCING premarket!💸📈🛒 $spx $es_f #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC $CHEK https://t.co/jnyh4QLLM8
2020-06-23 07:59:59,CryptoCrewNews,0,2108,$NKERT @PHARRIS667: ,"RT @pharris667: $AAPL DB Raises Target Price On Apple To $380 From $350
$AAPL: UBS RAISES TARGET PRICE TO $400 FROM $325
$AVLR Piper Mainta…"
2020-06-23 08:03:12,c_labrinos,0,258,$NKERT @AAAAMHIM: ,RT @aaaamhim: $WISA OVERSOLD AT BOTTOM BOUNCING premarket!💸📈🛒 $spx $es_f #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC…
