Symbol,CN Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
BIQI,"Renmin Tianli Group, Inc.",19,2010,12,Consumer Non-Durables,Anderson & Strudwick
SPI,"SPI Energy Co., Ltd.",17,2007,19,Technology,Self-underwritten
MYT,"Urban Tea, Inc.",17,2012,400,,Chardan Capital Markets
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
LYL,Dragon Victory International Limited,17,2017,9,Finance,"Boustead Securities, Network 1 Financial Securities"
CADC,"China Advanced Construction Materials Group, Inc.",17,Filed 2018,50,Basic Industries,
ITP,"IT Tech Packaging, Inc.",17,,,Consumer Durables,
HEBT,"Hebron Technology Co., Ltd.",14,2016,20,Capital Goods,Spartan Securities Group
CPHI,"China Pharma Holdings, Inc.",13,,,Health Care,
OSN,"Ossen Innovation Co., Ltd.",12,2010,23,Basic Industries,"Global Hunter Securities, Knight Capital Markets"
LKCO,Luokung Technology Corp,12,2010,16,Technology,"Roth Capital Partners, INC"
CNTF,China TechFaith Wireless Communicatio n Technology Limited,12,2005,142,n/a,Merrill Lynch
TYHT,"Shineco, Inc.",11,2016,8,Consumer Non-Durables,"Bonwick Capital Partners, Halcyon Cabot Partners, Network 1 Financial Securities"
CREG,China Recycling Energy Corporation,11,,,Business Services,
CCCL,"China Ceramics Co., Ltd.",10,2010,26,Capital Goods,"Roth Capital Partners, Inc."
KBSF,KBS Fashion Group Limited,9,2012,50,Consumer Non-Durables,"Lazard Capital Markets, Rodman
& Renshaw"
Symbol,Name,"Market Cap
(US$ mil)","IPO
Year",IPO Value (US$ mil),Sector,Lead Underwriters
FFHL,"Fuwei Films (Holdings) Co., Ltd.",7,2006,31,Capital Goods,Maxim Group
PETZ,"TDH Holdings, Inc.",7,2017,6,Consumer Non-Durables,ViewTrade Securities
GLG,"China Bat Group, Inc.",2,2013,9,Finance,Axiom Capital Management
SEED,Origin Agritech Limited,1,2004,,Consumer Non-Durables,EarlyBirdCapital
PLAG,Planet Green Holdings Corp,0,,,Consumer Non-Durables,
