User_name,Freq,Score,Flr
mandydavies89,3,885,295
jason_stealth,3,3387,1129
JapanToday,3,352140,117380
TheRealMadamWi1,3,66,22
TheRiverWanders,3,18486,6162
AndreaBalfour,3,3393,1131
DotsandIs,3,18807,6269
jillmotorfreak,3,856,285.3333333
SNCCLA,3,16797,5599
susanesc,3,16413,5471
Listen2Juju,3,16527,5509
TeeTweetsHere,3,16779,5593
japheth_bor,3,18660,6220
ptialex77,3,852,284
porridgeisgood,3,16428,5476
InsureYonder,3,3435,1145
JoeyKDublin,3,16977,5659
AnneLeonardPta,3,3438,1146
Majed20033725,3,246,82
kehraajavvv,3,66,22
KBCCHANNELTV,3,378,126
CJ70771945,3,66,22
kushibo,3,3441,1147
ValenteLEX18,3,3441,1147
news10nbc,3,366999,122333
TallTallDaddy,3,243,81
fillibeg,3,858,286
stellab06612856,3,3291,1097
julie_craik,3,132,44
mcglass_phil,3,879,293
WinnipegNews,3,391566,130522
AlexCan83126283,3,531,177
CM_Silverman,3,18150,6050
Bevbb9,3,870,290
bloggingbee01,3,1617,539
k_cooper23,3,63,21
jjdebenedictis,3,879,293
FCDOtravelGovUK,3,381966,127322
Cris43064119,3,63,21
FOX40,3,381393,127131
MrKuchi,3,132,44
FLYFLEDGLINGFLY,3,3261,1087
wusa9,3,361917,120639
JenniverMichael,3,240,80
whozitwhatzit,3,63,21
carolesmail56,3,17421,5807
huseyinbezirgan,3,858,286
AmyAyers16,3,17292,5764
zunderwhelmed,3,18483,6161
healthierphilly,3,3372,1124
Cooljenim,3,861,287
debmorello,3,17925,5975
ReutersUS,3,354423,118141
WitWarrior,3,3198,1066
PepeMontfort,3,3345,1115
sassysdreams,3,3342,1114
Richard26172,3,3330,1110
missjoy1965,3,18402,6134
haussamen,3,18375,6125
kirbyallen00,3,3216,1072
karatdawn,3,3336,1112
Parikiaki,3,18282,6094
jafsloas,3,528,176
Stevryl20,3,63,21
WOODTV,3,420792,140264
Cabell_HlthDept,3,3522,1174
Covid_Nation,3,12,4
MsPepper1970,3,1404,468
janetm50723412,3,1596,532
PolarniLiska,3,540,180
SayNoToThePrick,3,54,18
noralove,3,3777,1259
UtilityJunction,3,258,86
HBTonly,3,810,270
TwentyTwentyUSA,3,810,270
GlobalKitchener,3,3756,1252
Jeremy13605986,3,813,271
MaryAnn27608053,3,438,146
NoMoreBooks,3,813,271
MarkCappetta,3,813,271
judbell43,3,14859,4953
_mark_topps,3,3723,1241
cupcake0804,3,3723,1241
_oftoday_,3,3717,1239
RebbeSMZ,3,14919,4973
marksfamof8,3,447,149
michellemck0,3,3696,1232
hartfordcourant,3,494754,164918
THV11,3,489408,163136
mummygirl,3,3681,1227
redvases,3,3672,1224
beeYorkshire,3,3786,1262
RealHFegelein,3,438,146
WYHpartnership,3,14556,4852
WGRZ,3,574530,191510
BushwickPatch,3,447,149
DsOchoa,3,13947,4649
LisaKBromley,3,13980,4660
MarcoDaCostaFX,3,14022,4674
TigerHype,3,3903,1301
WeForNews,3,14097,4699
Melissa74520031,3,795,265
detectbarb,3,261,87
MaryWills612,3,798,266
bjen1234,3,543,181
StrackeKey,3,369,123
AnaDono_,3,807,269
Loreign83,3,14238,4746
DezCarp,3,798,266
Catheri76130871,3,3852,1284
lindacorbett18,3,14286,4762
MH30505831,3,801,267
rhombics,3,54,18
medusanewsfeed,3,54,18
ginja0,3,134,44.66666667
gujillerstan32,3,258,86
Georgie27159493,3,258,86
Pochteca46,3,438,146
KENS5,3,478758,159586
nickam99,3,12,4
bethanybump,3,15165,5055
ScoreNigeria1,3,15630,5210
BdaGovernment,3,15636,5212
SeanFlan45,3,15639,5213
sclay318,3,831,277
CBCEdmonton,3,452883,150961
hunnybun100,3,834,278
61Geordie,3,834,278
SteveG06322664,3,3531,1177
cookingtheresa,3,837,279
tinkergypsy13,3,1605,535
Enquirer,3,440931,146977
DewDropInn222,3,18849,6283
jabariwill,3,3513,1171
MyBostonNews,3,840,280
nakesha_horsey,3,3510,1170
CoffeeDoq,3,3495,1165
JoannaTeglund,3,16146,5382
